Street Address,City,State,Zip,Property Type,Status,Date,Amount,(MLS) Days On Market,Beds,Baths,SqFt,Lot SqFt,Year Built,PPSF,Pool Present,Sale Situation,Subdivision,Multi-Parcel,Distance,
2632 Valley Creek Trl,McKinney,TX,75072,Single Family Residential,MLS Sold,05/21/2026,787360,3,4,2,2283,9147,1988,344.88,Yes,,SUNSET RIDGE PHASE I (CMC),No,0.14,
2712 Wind Rdg,McKinney,TX,75072,Single Family Residential,Public Record Sold,04/03/2026,0,,4,2,2285,,1989,0,No,,SUNSET RIDGE #2  (CMC),No,0.27,
2715 Creek Crossing Dr,McKinney,TX,75072,Single Family Residential,MLS Sold,05/29/2026,492100,58,3,3,2732,9583,1993,180.12,No,,CREEK CROSSING PHASE I (CMC),No,0.36,
2717 Creek Crossing Dr,McKinney,TX,75072,Single Family Residential,MLS Sold,06/01/2026,636804,42,3,2,2297,9148,1994,277.23,No,,CREEK CROSSING PHASE I (CMC),No,0.38,
2709 Northview Dr,McKinney,TX,75072,Single Family Residential,MLS Sold,06/24/2026,623504,64,4,3,2452,8712,1993,254.28,No,,CREEK CROSSING PHASE I (CMC),No,0.41,
2720 Northview Dr,McKinney,TX,75072,Single Family Residential,Public Record Sold,06/30/2026,206150,,3,2.5,2732,9148,1993,75.46,Yes,,CREEK CROSSING PHASE I (CMC),No,0.43,
2701 SUMMERWOOD CT,MCKINNEY,TX,75072,Single Family Residential,MLS Sold,03/16/2026,679763,42,3,3,2498,6970,1993,272.12,No,,NORTHCREEK PHASE II (CMC),No,0.47,
